date,ac
2007-3-1,20.1
2007-3-2,19.93
2007-3-5,19.06
2007-3-6,19.44
2007-3-7,19.96
2007-3-8,19.72
2007-3-9,19.56
2007-3-12,19.2
2007-3-13,19.28
2007-3-14,19.3
2007-3-15,19.31
2007-3-16,19.42
2007-3-20,19.66
2007-3-21,19.37
2007-3-22,19.48
2007-3-23,19.4
2007-3-26,19.73
2007-3-27,19.72
2007-3-28,20.01
2007-3-29,20.36
2007-3-30,20.21
2007-4-2,20.78
2007-4-3,20.71
2007-4-4,20.53
2007-4-5,20.58
2007-4-6,20.62
2007-4-9,22.17
2007-4-10,22.69
2007-4-11,23
2007-4-12,22.95
2007-4-13,23.64
2007-4-16,24.23
2007-4-17,23.69
2007-4-18,23.16
2007-4-19,22.33
2007-4-20,23.77
2007-4-23,24.47
2007-4-24,23.98
2007-4-25,24.36
2007-4-26,25.13
2007-4-27,27.32
2007-4-30,28.28
2007-5-8,28.23
2007-5-9,28.23
2007-5-10,27.7
2007-5-11,26.98
2007-5-14,27.49
2007-5-15,26.43
2007-5-16,26.77
2007-5-17,27
2007-5-18,26.72
2007-5-21,27.26
2007-5-22,27.49
2007-5-23,27.58
2007-5-24,26.81
2007-5-25,26.6
2007-5-28,27.7
2007-5-29,27.91
2007-5-30,25.33
2007-5-31,26.17
2007-6-1,26.01
2007-6-4,24.49
2007-6-5,24.48
2007-6-6,24.78
2007-6-8,25.42
2007-6-11,26.86
2007-6-12,27.66
2007-6-13,27.35
2007-6-14,27.67
2007-6-15,28.08
2007-6-18,30.89
2007-6-19,30.57
2007-6-20,30.35
2007-6-21,31.75
2007-6-22,32.22
2007-6-25,31.99
2007-6-26,31.53
2007-6-27,32.82
2007-6-28,31.49
2007-6-29,30.81
2007-7-2,30.02
2007-7-3,30.97
2007-7-4,30.29
2007-7-5,30.21
2007-7-6,31.37
2007-7-9,32.46
2007-7-10,33.31
2007-7-11,33.14
2007-7-12,34.42
2007-7-13,34.26
2007-7-16,35.41
2007-7-17,35.31
2007-7-18,35.2
2007-7-19,34.03
2007-7-20,36.26
2007-7-23,35.95
2007-7-24,35.55
2007-7-25,35.42
2007-7-26,34.9
2007-7-27,34.51
2007-7-30,35.04
2007-7-31,35.97
2007-8-1,34.52
2007-8-2,35.25
2007-8-3,38.25
2007-8-6,38.88
2007-8-7,38.2
2007-8-8,38.08
2007-8-9,40.9
2007-8-10,41.09
2007-8-13,40.7
2007-8-14,42.21
2007-8-15,42.21
2007-8-16,40.13
2007-8-17,38.41
2007-8-20,39.86
2007-8-21,40
2007-8-22,40
2007-8-23,40.22
2007-8-24,42.09
2007-8-27,42.77
2007-8-28,44.56
2007-8-29,42.7
2007-8-30,43.47
2007-8-31,43.98
2007-9-3,44.49
2007-9-4,43.01
2007-9-5,42.35
2007-9-6,43.16
2007-9-7,41.78
2007-9-10,42.29
2007-9-11,41.55
2007-9-12,43.27
2007-9-13,44.6
2007-9-14,45.4
2007-9-17,46.38
2007-9-18,45.25
2007-9-19,48.76
2007-9-20,51.04
2007-9-21,51.59
2007-9-24,52.63
2007-9-25,55.88
2007-9-26,54.37
2007-9-27,56.76
2007-9-28,58.25
2007-10-8,61.03
2007-10-9,62.14
2007-10-10,60.86
2007-10-11,62.21
2007-10-12,60.74
2007-10-15,59.57
2007-10-16,59.14
2007-10-17,58.91
2007-10-18,58.81
2007-10-19,58.23
2007-10-22,59.97
2007-10-23,61.16
2007-10-24,62.58
2007-10-25,60.43
2007-10-26,60.6
2007-10-29,60.68
2007-10-30,60.93
2007-10-31,60.37
2007-11-1,59.13
2007-11-2,56.84
2007-11-5,54.81
2007-11-6,54.73
2007-11-7,53.51
2007-11-8,51.01
2007-11-9,51.28
2007-11-12,50.59
2007-11-13,49.72
2007-11-14,53.53
2007-11-15,53.41
2007-11-16,52.67
2007-11-19,51.01
2007-11-20,51.07
2007-11-21,50.03
2007-11-22,46.14
2007-11-23,46.87
2007-11-26,45.73
2007-11-27,43.59
2007-11-28,44.18
2007-11-29,47.47
2007-11-30,46.93
2007-12-3,49
2007-12-4,50.43
2007-12-5,51.39
2007-12-6,51.34
2007-12-7,51.78
2007-12-10,52.23
2007-12-11,50.66
2007-12-12,47.96
2007-12-13,46.2
2007-12-14,46.83
2007-12-17,43.67
2007-12-18,44.01
2007-12-19,45.03
2007-12-20,45.49
2007-12-21,46.7
2007-12-24,47.8
2007-12-25,46.5
2007-12-26,45.58
2007-12-27,46.72
2007-12-28,45.8
2008-1-2,44.46
2008-1-3,43.95
2008-1-4,44.99
2008-1-7,44.2
2008-1-8,45.79
2008-1-9,45.85
2008-1-10,46.22
2008-1-11,47.35
2008-1-14,47.24
2008-1-15,45.34
2008-1-16,43.47
2008-1-17,42.98
2008-1-18,42.39
2008-1-21,38.15
2008-1-22,34.34
2008-1-23,34.73
2008-1-24,34.5
2008-1-25,34.79
2008-1-28,31.31
2008-1-29,31.29
2008-1-30,30.69
2008-1-31,31
2008-2-1,31.94
2008-2-4,34.17
2008-2-5,33.43
2008-2-13,31.04
2008-2-14,32.11
2008-2-15,32.79
2008-2-18,33.45
2008-2-19,33.19
2008-2-20,32.13
2008-2-21,31.3
2008-2-22,29.97
2008-2-25,28.22
2008-2-26,29.37
2008-2-27,31
2008-2-28,30.22
2008-2-29,30.73
2008-3-3,30.26
2008-3-4,28.96
2008-3-6,31.24
2008-3-7,29.21
2008-3-10,27.84
2008-3-11,27.56
2008-3-12,27.54
2008-3-13,27.36
2008-3-14,27.22
2008-3-17,25.82
2008-3-18,24.35
2008-3-19,24.58
2008-3-20,24.15
2008-3-21,24.2
2008-3-24,21.82
2008-3-25,22.05
2008-3-26,22.53
2008-3-27,21.15
2008-3-28,22.94
2008-3-31,22.84
2008-4-1,23.03
2008-4-2,24.54
2008-4-3,25.48
2008-4-7,26.85
2008-4-8,26.52
2008-4-9,24.66
2008-4-10,25.2
2008-4-11,25.36
2008-4-14,23.69
2008-4-15,24.16
2008-4-16,23.46
2008-4-17,24.31
2008-4-18,23.85
2008-4-21,24.6
2008-4-22,25.09
2008-4-23,26.21
2008-4-24,28.83
2008-4-25,28.93
2008-4-28,27.93
2008-4-29,28.08
2008-4-30,29.78
2008-5-5,29.62
2008-5-6,29.15
2008-5-7,26.8
2008-5-8,27.06
2008-5-9,27.66
2008-5-12,27.12
2008-5-14,27.15
2008-5-15,26.63
2008-5-16,26.56
2008-5-19,25.99
2008-5-20,24.62
2008-5-21,25.02
2008-5-22,24.16
2008-5-23,24.3
2008-5-26,23.03
2008-5-27,23.54
2008-5-28,24.3
2008-5-29,23.48
2008-5-30,24.52
2008-6-2,24.78
2008-6-3,24.26
2008-6-4,23.65
2008-6-5,23.75
2008-6-6,23.76
2008-6-10,21.83
2008-6-11,21.95
2008-6-12,21.51
2008-6-13,21.36
2008-6-16,21.75
2008-6-17,21.4
2008-6-18,22.24
2008-6-19,20.86
2008-6-20,21.93
2008-6-23,21.2
2008-6-24,21.63
2008-6-25,22.2
2008-6-26,22.51
2008-6-27,21.36
2008-6-30,21.45
2008-7-1,20.83
2008-7-2,18.75
2008-7-3,17.66
2008-7-4,17.5
2008-7-7,18.28
2008-7-8,17.56
2008-7-9,19.07
2008-7-10,18.75
2008-7-11,18.8
2008-7-14,18.82
2008-7-15,17.69
2008-7-16,17.16
2008-7-18,17.89
2008-7-21,18.69
2008-7-22,18.73
2008-7-23,19.11
2008-7-24,20.46
2008-7-25,20.01
2008-7-28,19.56
2008-7-29,19.18
2008-7-30,19.15
2008-7-31,18.72
2008-8-1,19.51
2008-8-4,19.12
2008-8-5,19.25
2008-8-6,19.93
2008-8-7,19.86
2008-8-8,18.79
2008-8-11,18.15
2008-8-12,18.3
2008-8-13,17.84
2008-8-14,17.89
2008-8-15,18.22
2008-8-18,17.43
2008-8-19,17.88
2008-8-20,19.58
2008-8-21,18.78
2008-8-22,18.67
2008-8-25,18.93
2008-8-26,19.14
2008-8-27,19.48
2008-8-28,19.86
2008-8-29,20
2008-9-1,19.42
2008-9-2,19.32
2008-9-3,19.07
2008-9-4,18.73
2008-9-5,18.2
2008-9-8,18.66
2008-9-9,18.61
2008-9-10,18.38
2008-9-11,17.16
2008-9-12,17.54
2008-9-16,16.06
2008-9-17,14.62
2008-9-18,13.35
2008-9-19,14.69
2008-9-22,16.16
2008-9-23,15.51
2008-9-24,15.44
2008-9-25,15.79
2008-9-26,14.49
2008-10-6,14.63
2008-10-7,14
2008-10-8,12.71
2008-10-9,12.73
2008-10-10,12.16
2008-10-13,13.12
2008-10-14,12.93
2008-10-15,12.56
2008-10-16,11.52
2008-10-17,11.49
2008-10-20,11.73
2008-10-21,11.4
2008-10-22,10.96
2008-10-23,10.56
2008-10-24,9.91
2008-10-27,9.14
2008-10-28,9.11
