date,ac
2006-10-23,2.5
2006-10-24,2.54
2006-10-25,2.68
2006-10-26,2.64
2006-10-27,2.7
2006-10-30,2.6
2006-10-31,2.59
2006-11-1,2.57
2006-11-2,2.52
2006-11-3,2.51
2006-11-6,2.52
2006-11-7,2.65
2006-11-8,2.73
2006-11-9,2.77
2006-11-10,2.71
2006-11-13,2.59
2006-11-14,2.7
2006-11-15,2.91
2006-11-16,3.07
2006-11-17,3.12
2006-11-20,3.11
2006-11-21,3.05
2006-11-22,3.28
2006-11-23,3.23
2006-11-24,3.33
2006-11-27,3.32
2006-11-28,3.53
2006-11-29,3.59
2006-11-30,3.64
2006-12-1,3.76
2006-12-4,3.74
2006-12-5,3.64
2006-12-6,3.59
2006-12-7,3.44
2006-12-8,3.56
2006-12-11,3.64
2006-12-12,3.9
2006-12-13,4.2
2006-12-14,4.26
2006-12-15,4.26
2006-12-18,4.56
2006-12-19,4.42
2006-12-20,4.64
2006-12-21,4.45
2006-12-22,4.37
2006-12-25,4.53
2006-12-26,4.47
2006-12-27,4.53
2006-12-28,4.52
2006-12-29,4.72
2007-1-4,4.89
2007-1-5,5.06
2007-1-8,4.94
2007-1-9,4.92
2007-1-10,4.9
2007-1-11,5
2007-1-12,5.06
2007-1-15,5.48
2007-1-16,6.03
2007-1-17,5.88
2007-1-18,6.24
2007-1-19,6.79
2007-1-22,7.37
2007-1-23,6.95
2007-1-24,7.17
2007-1-25,7.08
2007-1-26,7.08
2007-1-29,6.93
2007-1-30,7.51
2007-1-31,6.96
2007-2-1,7.28
2007-2-2,7.08
2007-2-5,6.77
2007-2-6,6.55
2007-2-7,6.54
2007-2-8,6.5
2007-2-9,6.56
2007-2-12,6.79
2007-2-13,6.81
2007-2-14,6.82
2007-2-15,6.96
2007-2-16,6.95
2007-2-26,6.64
2007-2-27,5.97
2007-2-28,5.92
2007-3-1,5.99
2007-3-2,6.04
2007-3-5,6.03
2007-3-6,6.14
2007-3-7,6.66
2007-3-8,6.85
2007-3-9,6.64
2007-3-12,6.71
2007-3-13,6.5
2007-3-14,6.3
2007-3-15,6.5
2007-3-16,6.45
2007-3-19,6.37
2007-3-20,6.25
2007-3-21,6.17
2007-3-22,6.27
2007-3-23,6.61
2007-3-26,6.56
2007-3-27,6.32
2007-3-28,6.33
2007-3-29,6.66
2007-4-2,6.66
2007-4-3,7.08
2007-4-4,6.98
2007-4-5,6.97
2007-4-6,7.35
2007-4-10,7.47
2007-4-11,7.22
2007-4-12,7.19
2007-4-13,7.68
2007-4-16,8.33
2007-4-17,8.16
2007-4-18,8.13
2007-4-19,7.69
2007-4-20,7.9
2007-4-23,7.87
2007-4-24,7.68
2007-4-25,7.51
2007-4-26,7.7
2007-4-27,7.49
2007-4-30,8.07
2007-5-9,8.41
2007-5-10,8.14
2007-5-11,7.86
2007-5-14,8.32
2007-5-15,7.89
2007-5-16,8.14
2007-5-17,8.6
2007-5-18,9.46
2007-5-21,9.99
2007-5-22,9.68
2007-5-23,9.81
2007-5-24,9.56
2007-5-25,9.76
2007-5-28,10.24
2007-5-29,10.82
2007-5-30,10.1
2007-5-31,10.61
2007-6-1,9.83
2007-6-4,9.63
2007-6-5,9.95
2007-6-6,9.89
2007-6-7,10.2
2007-6-8,10.34
2007-6-11,10.79
2007-6-12,10.76
2007-6-13,11.18
2007-6-14,11.52
2007-6-15,11.32
2007-6-18,11.21
2007-6-19,10.99
2007-6-20,10.93
2007-6-21,11
2007-6-22,10.37
2007-6-25,10.21
2007-6-26,10.01
2007-6-27,10.59
2007-6-28,9.92
2007-6-29,9.77
2007-7-2,9.73
2007-7-3,9.97
2007-7-4,9.83
2007-7-5,9.57
2007-7-6,10
2007-7-9,10.12
2007-7-10,9.73
2007-7-11,9.61
2007-7-12,10.04
2007-7-16,9.89
2007-7-17,10.09
2007-7-18,10.07
2007-7-19,10.11
2007-7-20,11.03
2007-7-23,11.26
2007-7-24,11.19
2007-7-25,11.01
2007-7-26,11.06
2007-7-27,10.7
2007-7-30,10.72
2007-7-31,10.91
2007-8-1,10.61
2007-8-2,10.61
2007-8-3,11.05
2007-8-6,11.36
2007-8-7,11.76
2007-8-8,11.48
2007-8-9,11.7
2007-8-10,11.22
2007-8-13,11.32
2007-8-14,11.03
2007-8-15,11.19
2007-8-16,11.39
2007-8-17,11.22
2007-8-20,11.55
2007-8-21,12.01
2007-8-22,12.66
2007-8-23,13.28
2007-8-24,13.53
2007-8-27,13.24
2007-8-28,13.07
2007-8-29,13.21
2007-8-30,13.63
2007-8-31,14.78
2007-9-3,14.46
2007-9-4,14.36
2007-9-5,14.15
2007-9-6,14.14
2007-9-7,13.67
2007-9-10,13.77
2007-9-11,13.53
2007-9-12,13.94
2007-9-13,14.28
2007-9-14,14.15
2007-9-17,13.89
2007-9-18,13.32
2007-9-19,12.82
2007-9-20,12.76
2007-9-21,12.75
2007-9-25,14.03
2007-9-26,13.53
2007-9-27,13.69
2007-9-28,14.28
2007-10-8,14.26
2007-10-9,14.53
2007-10-10,15.21
2007-10-11,15.03
2007-10-12,14.98
2007-10-15,14.51
2007-10-16,14.15
2007-10-17,14.23
2007-10-18,13.53
2007-10-19,14.67
2007-10-22,13.96
2007-10-23,13.95
2007-10-24,14.34
2007-10-25,14.36
2007-10-26,14.55
2007-10-29,14.72
2007-10-30,14.27
2007-10-31,14.15
2007-11-1,13.74
2007-11-2,13.3
2007-11-5,13.55
2007-11-6,13.59
2007-11-7,13.66
2007-11-8,13.34
2007-11-9,12.75
2007-11-12,12.09
2007-11-13,12.37
2007-11-14,13.01
2007-11-15,12.76
2007-11-16,12.69
2007-11-19,13.11
2007-11-20,13.09
2007-11-21,13.13
2007-11-22,12.5
2007-11-23,12.94
2007-11-26,12.69
2007-11-27,12.26
2007-11-28,12.01
2007-11-29,12.23
2007-11-30,11.84
2007-12-3,11.77
2007-12-4,12.07
2007-12-5,12.84
2007-12-6,13.15
2007-12-7,13.08
2007-12-10,13.9
2007-12-11,14.23
2007-12-12,14.23
2007-12-13,13.07
2007-12-14,13.45
2007-12-17,14.22
2007-12-18,13.71
2007-12-19,13.36
2007-12-20,13.42
2007-12-21,13.66
2007-12-24,14.18
2007-12-25,14.45
2007-12-26,15.05
2007-12-27,14.82
2007-12-28,14.95
2008-1-3,14.51
2008-1-4,14.36
2008-1-7,14.28
2008-1-8,14.08
2008-1-9,14.27
2008-1-10,14.19
2008-1-11,14.55
2008-1-14,14.88
2008-1-15,14.71
2008-1-16,14.23
2008-1-17,14.18
2008-1-18,13.94
2008-1-21,13.74
2008-1-22,13.12
2008-1-23,13.71
2008-1-24,13.56
2008-1-25,13.32
2008-1-28,13.27
2008-1-29,13.1
2008-1-30,13.12
2008-1-31,12.66
2008-2-1,12.9
2008-2-4,13.68
2008-2-5,13.61
2008-2-13,13.19
2008-2-14,13.42
2008-2-15,13.41
2008-2-18,14.12
2008-2-19,14.46
2008-2-20,14.36
2008-2-21,14.54
2008-2-22,14.28
2008-2-25,13.69
2008-2-26,13.38
2008-2-27,13.42
2008-2-28,13.42
2008-2-29,13.75
2008-3-3,14.29
2008-3-4,14.36
2008-3-5,14.11
2008-3-6,14.13
2008-3-7,14.13
2008-3-10,13.69
2008-3-11,13.36
2008-3-12,13.07
2008-3-13,12.36
2008-3-14,12.28
2008-3-17,11.57
2008-3-18,10.85
2008-3-19,10.88
2008-3-21,11.86
2008-3-24,11.55
2008-3-25,11.59
2008-3-26,11.65
2008-3-27,11.56
2008-3-28,11.71
2008-3-31,11.53
2008-4-1,11.11
2008-4-2,10.76
2008-4-3,11.34
2008-4-7,11.67
2008-4-8,11.76
2008-4-9,11.3
2008-4-10,11.48
2008-4-11,11.66
2008-4-14,11.23
2008-4-15,11.28
2008-4-16,11.03
2008-4-17,10.55
2008-4-18,10.34
2008-4-21,10.03
2008-4-22,9.51
2008-4-23,10.34
2008-4-24,11.24
2008-4-25,10.82
2008-4-28,10.48
2008-4-29,10.77
2008-4-30,11.56
2008-5-5,11.65
2008-5-6,11.36
2008-5-7,11.17
2008-5-8,11.55
2008-5-9,11.8
2008-5-12,11.8
2008-5-13,12.22
2008-5-14,12.11
2008-5-15,11.66
2008-5-16,11.5
2008-5-19,11.5
2008-5-20,11.27
2008-5-21,11.01
2008-5-22,11.07
2008-5-23,10.96
2008-5-26,10.32
2008-5-27,10.42
2008-5-28,10.78
2008-5-29,10.69
2008-5-30,10.71
2008-6-2,10.55
2008-6-3,10.43
2008-6-4,10.44
2008-6-5,10.34
2008-6-6,10.36
2008-6-10,9.61
2008-6-11,9.71
2008-6-12,9.34
2008-6-13,8.73
2008-6-16,8.56
2008-6-17,8.52
2008-6-18,8.73
2008-6-19,8.15
2008-6-20,8.23
2008-6-23,7.94
2008-6-24,8.25
2008-6-25,8.81
2008-6-26,8.99
2008-6-27,8.79
2008-6-30,8.63
2008-7-1,8.63
2008-7-2,8.42
2008-7-3,8.69
2008-7-4,8.71
2008-7-7,9.19
2008-7-8,9.47
2008-7-9,9.68
2008-7-10,9.77
2008-7-11,9.51
2008-7-14,9.44
2008-7-15,9.19
2008-7-16,9.2
2008-7-17,9.24
2008-7-18,9.2
2008-7-21,9.66
2008-7-22,9.6
2008-7-23,9.44
2008-7-24,9.72
2008-7-25,9.58
2008-7-28,9.46
2008-7-29,9.63
2008-7-30,9.66
2008-7-31,9.52
2008-8-1,9.61
2008-8-4,9.3
2008-8-5,9.1
2008-8-6,9.14
2008-8-7,8.98
2008-8-8,8.77
2008-8-11,8.56
2008-8-12,8.52
2008-8-13,8.67
2008-8-14,8.97
2008-8-15,8.96
2008-8-18,8.63
2008-8-19,8.92
2008-8-20,9.38
2008-8-21,9.12
2008-8-22,8.88
2008-8-25,8.84
2008-8-26,8.63
2008-8-27,8.42
2008-8-28,8.37
2008-8-29,8.5
2008-9-1,7.65
2008-9-2,7.01
2008-9-3,6.67
2008-9-4,6.89
2008-9-5,6.88
2008-9-8,6.69
2008-9-9,6.85
2008-9-10,6.91
2008-9-11,6.91
2008-9-12,7.1
2008-9-17,6.66
2008-9-18,6.11
2008-9-19,6.72
2008-9-22,7.02
2008-9-23,6.6
2008-9-24,6.66
2008-9-25,7.04
2008-9-26,7.29
2008-10-6,7.07
2008-10-7,7.11
2008-10-8,6.69
2008-10-9,6.48
2008-10-10,6.03
2008-10-13,6.07
2008-10-14,5.78
2008-10-15,5.49
2008-10-16,5.21
2008-10-17,5.11
2008-10-20,5.28
2008-10-21,5.52
2008-10-22,5.61
2008-10-23,5.66
2008-10-24,5.51
2008-10-27,5.2
2008-10-28,5.64
2008-10-29,5.45
2008-10-30,5.66
2008-10-31,5.69
2008-11-3,5.79
2008-11-4,5.69
2008-11-5,5.88
2008-11-6,5.71
